ID,Variety,Origin,Month,L-Proline,Fructose,Lactic Acid,L-Threonine,Maltose,L-Phenylalanine,L-Valine,L-Tryptophan,L-Isoleucine,Isobutyric Acid,L-Alanine,Acetaldehyde,Diacetyl
CSU.22.029-024-Rahr-_Malt_-Rahr,Rahr,Maltster A,6,124407264.8,177009502.4,112124626.6,16693549.49,27006370.73,41399854.34,72897544.44,30553754.02,30434840.51,828422.9054,13777713.01,14228849.58,3907482.35
CSU.22.012-004-Scarlett-_Malt_-CMC,Scarlett,Maltster C,6,144922243,111806241.9,240256758.5,14093240.6,28984500.01,32351712.04,74718884.85,38426521.01,29626368.08,538493.9518,16204022.88,13465369.49,2768467.925
CSU.22.030-011-Rahr-_Malt_-Rahr,Rahr,Maltster A,7,142451922.5,250791841.6,39341051.18,15419324.86,14047656.13,33971889.61,74025085.66,36863827.03,31044468.33,733222.7332,20689900.54,13516833.92,3177480.615
CSU.22.003-020-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,7,186814334.6,100345015.9,12556936.05,10408377.65,14858479.24,23839872.68,62805809.06,30584633.94,25098605.5,539160.235,16551386.17,10280222.4,1795987.236
CSU.22.031-036-Rahr-_Malt_-Rahr,Rahr,Maltster A,8,125481812,218287438.5,184857342.1,4779111.516,41586674.32,33835505.95,62549930.17,34863104.8,25917845.63,945075.2323,14062222.76,12158008.6,3354693.824
CSU.22.060-007-Butta 13-_Malt_-Admiral,Butta 12,Maltster B,8,213747861.6,113969544.4,104346620.7,16229553.88,27650543.93,29887080.56,82959612.89,29744759.67,34723670.06,1190755.362,11607753.61,9838636.698,1943865.71
CSU.22.032-005-Rahr-_Malt_-Rahr,Rahr,Maltster A,9,78057148.96,243373514.2,116474815.2,11345095.9,35524818.32,33001035.28,56904289.91,34507359.16,23046131.83,1221118.362,15075115.84,12201635.3,2854254.995
CSU.22.061-027-Butta 14-_Malt_-Admiral,Butta 12,Maltster B,9,217853584.1,81358032.31,78945473.36,11884253.54,13350903.86,27748872.01,77260463.58,33856289.21,33398626.14,819970.3595,17190220.41,9727175.321,1620780.473
CSU.22.005-037-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,10,143419852.5,113679730.6,106814040.9,9959482.619,37043049.33,30684505.57,56977303.98,26551912.96,26475857.18,1713562.555,14025794.25,9505786.315,1853008.835
CSU.22.033-033-Rahr-_Malt_-Rahr,Rahr,Maltster A,10,74484604.52,219438800.1,192186437.4,12009326.01,39939913.31,31698721,60249180.56,28433682.6,20434361.86,984088.3416,13904773.31,13637922.11,2942925.32
CSU.22.006-039-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,11,166151136,56870471.77,78898228.55,9890166.87,13204849.07,23604518.41,62415792.26,25044441.5,26269044.02,552655.5087,15412036.28,9121465.471,1617675.112
CSU.22.034-008-Rahr-_Malt_-Rahr,Rahr,Maltster A,11,100589580.1,245633246.3,192057569,11984494.69,33720505.88,34804416.53,61041344.27,27690343.19,23947065.73,1485451.506,15193085.8,2221355.843,3475009.092
CSU.22.002-031-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,12,153549907.4,114390836.9,97412022.35,8903593.908,15220744.88,25583249.98,60614401.05,31685348.59,27020040.04,595967.2946,13616212.35,8595910.609,1561830.333
CSU.22.013-040-Scarlett-_Malt_-CMC,Scarlett,Maltster C,12,99934420.16,119238160.4,49933756.68,29538174.21,63895102.09,54886206.82,137566984.2,45875578.04,58376748.82,402186.2542,20979502.94,14246672.28,8227261.509
CSU.22.035-041-Rahr-_Malt_-Rahr,Rahr,Maltster A,12,110564115.3,233111752.2,186700194.9,12514345.99,31880489.56,33489531.18,56415925.7,24204765.09,23786665.17,1249452.94,11647545.45,12244816.76,3217528.587
