ID,Variety,Origin,Month,Glycerol,mannonic acid ,Malic acid,"9,12-Octadecadienoic acid (Z,Z)",Palmitic Acid,L-Proline,fructose,Lactic Acid,Myo-Inositol,L-Threonine,citric acid,Maltose,glycolic acid,L-Phenylalanine,L-5-Oxoproline,L-Valine,Phenol,Ribitol,GABA,L-Tryptophan,Propanedioic acid,L-Isoleucine,Acetic Acid Isomer 2,"1,3-Butanediol",Alanine,Isobutyric Acid,Pyrazine,DL-Alanine,acetaldehyde,Diacetyl,Ethanol,"2-Butanone, 3-methyl-",Acetoin,2-methylphenyl alcohol,Methane
CSU.22.029-024-Rahr-_Malt_-Rahr,Rahr,Maltster A,6,235666626.7,3336288.442,53436149.36,19544160.37,32505562.9,124407264.8,177009502.4,112124626.6,28938416.58,16693549.49,12346878.5,27006370.73,2990708.749,41399854.34,84866844.85,72897544.44,8889520.906,11612816.53,22470471.06,30553754.02,18854567.2,30434840.51,108271061.6,14741868.09,878840.3105,828422.9054,917364.8846,13777713.01,14228849.58,3907482.35,317044.9161,11351289.55,344506.9542,847183.6203,397699.0317
CSU.22.012-004-Scarlett-_Malt_-CMC,Scarlett,Maltster C,6,250087827.4,566437.6496,24783830.47,16557565.28,37522917.26,144922243,111806241.9,240256758.5,38833212.51,14093240.6,9854247.047,28984500.01,70085.44242,32351712.04,82749426.91,74718884.85,19084899.51,104403794.4,16158210.37,38426521.01,105587933.9,29626368.08,95562747.15,18610412.07,110220.2768,538493.9518,854090.6471,16204022.88,13465369.49,2768467.925,328754.0068,14687780.73,373806.7819,732208.0077,233501.8212
CSU.22.030-011-Rahr-_Malt_-Rahr,Rahr,Maltster A,7,220076100,3112525.681,39196912.76,17065062.48,30449440.35,142451922.5,250791841.6,39341051.18,24908009.13,15419324.86,12613352.1,14047656.13,4876072.709,33971889.61,99722830.94,74025085.66,2310890.746,10151715.83,24704980.97,36863827.03,6168338.196,31044468.33,105327894.4,20318053,1266292.259,733222.7332,846440.5837,20689900.54,13516833.92,3177480.615,263281.7694,16530794.53,111624.6132,738640.9897,979634.7478
CSU.22.003-020-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,7,552780362.9,92963676.03,19923012.65,30288650.01,50137413.72,186814334.6,100345015.9,12556936.05,25578710.44,10408377.65,15674717.04,14858479.24,60178365.2,23839872.68,94253779.76,62805809.06,27830064.04,19178990.14,11582005.04,30584633.94,2465875.612,25098605.5,74582646.34,15595362.76,332927.9414,539160.235,569217.1433,16551386.17,10280222.4,1795987.236,865289.5332,15621037.15,169013.8005,276215.6068,1692124.672
CSU.22.031-036-Rahr-_Malt_-Rahr,Rahr,Maltster A,8,202715719.4,3220145.69,49047983.66,22435383.56,33060759.05,125481812,218287438.5,184857342.1,33048516.49,4779111.516,10612470.18,41586674.32,3145140.341,33835505.95,75403047.92,62549930.17,7424179.882,21603860.22,20879596.29,34863104.8,29243650.16,25917845.63,88748437.8,13724656.12,1135461.765,945075.2323,800917.9826,14062222.76,12158008.6,3354693.824,300384.8618,10887720.75,433197.1191,757640.4304,284598.4417
CSU.22.060-007-Butta 13-_Malt_-Admiral,Butta 12,Maltster B,8,536336511.2,70749036.05,36349030.21,27093811.79,49807749.44,213747861.6,113969544.4,104346620.7,36175189.37,16229553.88,13339669.24,27650543.93,80971949.84,29887080.56,121563861,82959612.89,11680388.89,27207389.78,21210675.29,29744759.67,13325020.43,34723670.06,108824376.5,13844063.3,789477.5117,1190755.362,768562.5551,11607753.61,9838636.698,1943865.71,943998.8369,13421835.58,51449.40497,530424.7531,2396765.793
CSU.22.032-005-Rahr-_Malt_-Rahr,Rahr,Maltster A,9,212849065.6,4098216.246,51464051.65,17894473.83,33039785.74,78057148.96,243373514.2,116474815.2,37281064.98,11345095.9,12327525.74,35524818.32,5079627.636,33001035.28,75540875.24,56904289.91,4369677.96,21295020.62,21392816.76,34507359.16,18010483.93,23046131.83,96426662.88,14125793.73,843304.7534,1221118.362,799540.9046,15075115.84,12201635.3,2854254.995,261179.1425,10389118.06,338335.1446,618104.5983,274094.1363
CSU.22.061-027-Butta 14-_Malt_-Admiral,Butta 12,Maltster B,9,611546501.2,93403872.69,30253381.63,25720042.82,49321187.19,217853584.1,81358032.31,78945473.36,39848174.42,11884253.54,14284026.49,13350903.86,89275683.76,27748872.01,127518114.7,77260463.58,13170880.83,21202035.04,23211999.95,33856289.21,4513289.652,33398626.14,103181450,20601126.75,494482.5138,819970.3595,909095.6243,17190220.41,9727175.321,1620780.473,1071338.124,20455941.99,176937.089,492818.2703,1878785.839
CSU.22.005-037-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,10,642915685.2,113328886.4,23968601.41,31881653.82,60252782.46,143419852.5,113679730.6,106814040.9,42810782.47,9959482.619,9545547.59,37043049.33,84734504.2,30684505.57,93884661.66,56977303.98,13209105.6,21062828.72,17436643.61,26551912.96,9010143.232,26475857.18,96074574.14,14413016.9,1252770.149,1713562.555,592850.571,14025794.25,9505786.315,1853008.835,874503.5043,13896664.9,123665.5184,482100.3157,1562833.6
CSU.22.033-033-Rahr-_Malt_-Rahr,Rahr,Maltster A,10,188545891.6,2994171.525,44443921.32,21114028.41,34949004.79,74484604.52,219438800.1,192186437.4,33965429.24,12009326.01,10308066.59,39939913.31,4146954.879,31698721,67430990.44,60249180.56,12335715.84,16464586.88,22476340.51,28433682.6,29526304.4,20434361.86,84192943.48,13201637.9,1682841.493,984088.3416,800649.3605,13904773.31,13637922.11,2942925.32,252972.6995,11393345.71,612750.6025,740027.0429,392908.7421
CSU.22.006-039-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,11,630895583.2,88501614,22680263.57,35294180.37,60041331.67,166151136,56870471.77,78898228.55,41629678.45,9890166.87,11380106.71,13204849.07,90833218.46,23604518.41,98179439.35,62415792.26,9523831.965,22613801.52,14735334.12,25044441.5,6314014.354,26269044.02,68240566.98,14817363.2,853059.3733,552655.5087,415221.2543,15412036.28,9121465.471,1617675.112,920941.734,14132592.95,271344.0024,97469.16537,1782724.715
CSU.22.034-008-Rahr-_Malt_-Rahr,Rahr,Maltster A,11,237246980.3,3652929.618,50262629.09,23001258.53,40252241.1,100589580.1,245633246.3,192057569,38969689.34,11984494.69,12386758.57,33720505.88,4988458.92,34804416.53,81142862.24,61041344.27,7543407.003,24033348.1,27180565.5,27690343.19,31409120.85,23947065.73,95873018.57,14441941.41,311669.5113,1485451.506,917386.7641,15193085.8,2221355.843,3475009.092,295980.6657,12224387.04,356002.5571,651798.1653,166376.5432
CSU.22.002-031-Butta 12-_Malt_-Admiral,Butta 12,Maltster B,12,546311532.9,62782953.22,20139875.09,35928412.79,58465054.14,153549907.4,114390836.9,97412022.35,36273800.59,8903593.908,8903646.122,15220744.88,79656721.92,25583249.98,91462585.99,60614401.05,16228237.13,24516824.66,12710514.72,31685348.59,5285424.309,27020040.04,67556189.03,12832075.17,719491.9952,595967.2946,418863.158,13616212.35,8595910.609,1561830.333,845619.7635,12773336.94,89015.51284,452817.2849,1665212.704
CSU.22.013-040-Scarlett-_Malt_-CMC,Scarlett,Maltster C,12,277909607.2,3024406.901,28667231.2,19500284.28,36513370.18,99934420.16,119238160.4,49933756.68,67439157.59,29538174.21,12361927.62,63895102.09,4325791.915,54886206.82,126071126.4,137566984.2,2164432.932,10441757.03,44261350.81,45875578.04,79324343.93,58376748.82,162088279.4,15096715.94,315810.114,402186.2542,1790699.794,20979502.94,14246672.28,8227261.509,545287.6603,12261806.08,145522.1896,652080.6724,421658.8583
CSU.22.035-041-Rahr-_Malt_-Rahr,Rahr,Maltster A,12,268396493.9,4424914.352,52973971.98,19763385.07,40441197.2,110564115.3,233111752.2,186700194.9,28740958.83,12514345.99,10842902.69,31880489.56,4322924.444,33489531.18,88915036.51,56415925.7,6458321.149,18051597.42,19388436.71,24204765.09,39943308.22,23786665.17,115395062.2,11213635.63,1287054.43,1249452.94,760633.0668,11647545.45,12244816.76,3217528.587,301665.9218,8733426.748,301892.3143,728946.4522,324854.9978
